Name,Type,Required,Description,OR Field,OR File
facility_name,string,Yes,The name of the facility providing flu vaccinations.,name,location.csv
facility_id,number,Yes,The unique identifier for the facility providing flu vaccinations.,id,location.csv
facility_type,string,No,Denotes the type of facility providing flu vaccinations.,?,
street1,string,Yes,The street address of the facility providing flu vaccinations.,street_1,physical_address.csv
street2,string,Yes,Supplementary street address information of the facility providing flu vaccinations.,street_2,physical_address.csv
city,string,Yes,The city of the facility providing flu vaccinations.,city,physical_address.csv
state,string,Yes,The state or province of the facility providing flu vaccinations.,state_province,physical_address.csv
postal_code,string,Yes,The postal code of the facility providing flu vaccinations.,postal_code,physical_address.csv
country,string,Yes,The country of the facility providing flu vaccinations. (ISO 3166-1 alpha-2 format),country,physical_address.csv
latitude,decimal,No,The latitude of the facility providing flu vaccinations. (Value in decimal degrees to an accuracy of no less than 5 decimal places),latitude,location.csv
longitude,decimal,No,The longitude of the facility providing flu vaccinations. (Value in decimal degrees to an accuracy of no less than 5 decimal places),longitude,location.csv
phone,string,No,A contact phone number for the facility providing flu vaccinations.,number,phone.csv
contact,string,No,The name of a contact person for the facility providing flu vaccinations.,name,contact.csv
url,string,No,A website providing additional information about the business or entity administering flu vaccinations.,?,
begin_date,date,Yes,The date on which vaccinations begin at a specified location. (ISO 8601 format),?,regular_schedule.csv
end_date,date,Yes,The date on which vaccinations end at a specified location. (ISO 8601 format),?,regular_schedule.csv
begin_time,time,Yes,The local time at which vaccinations begin being dispensed at a specified location. (ISO 8601 format),?,regular_schedule.csv
end_time,time,Yes,The local time at which vaccinations finish being dispensed at a specified location. (ISO 8601 format),?,regular_schedule.csv
eligibility,string,Yes,Limitations on eligibility for vaccinations at a specific location.,?,
documents,string,No,List of any documents or documentation that might be needed to receive vaccination. Use the pipe ('|') delimiter to separate document names if multiple documents are required.,document,required_document.csv
cost,decimal,Yes,The cost for vaccinations at a specified location (if any).,fee,fee.csv
currency_code,string,No,Currency code for the cost of vacations. Required if cost applies. (ISO 4217 format),?,
notes,string,No,Any other relevant information relating to the dispensing of vaccinations at a specific location.,?,
file_start_date,date,No,The file provides complete and reliable schedule information for vaccinations in the period from the beginning of the file_start_date day to the end of the file_end_date day.,last_action_date,metadata.csv
file_end_date,date,No,The file provides complete and reliable schedule information for vaccinations in the period from the beginning of the file_start_date day to the end of the file_end_date day.,last_action_date,metadata.csv
